Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,IO_1,A1,BI,2,FALSE
L2,IO_3,A3,BI,2,FALSE
L3,IO_5,A6,BI,2,FALSE
L4,IO_7,A8,BI,2,FALSE
L5,IO_9,A10,BI,2,FALSE
L6,IO_11,B11,BI,2,FALSE
L7,IO_13,D11,BI,2,FALSE
L8,IO_15,F11,BI,2,FALSE
L9,IO_17,H11,BI,2,FALSE
L10,IO_19,K11,BI,2,FALSE
L11,IO_21,L10,BI,2,FALSE
L12,IO_23,L8,BI,2,FALSE
L13,IO_25,L6,BI,2,FALSE
L14,IO_27,L4,BI,2,FALSE
L15,IO_29,L2,BI,2,FALSE
L16,IO_31,H1,BI,2,FALSE
L17,IO_33,F1,BI,2,FALSE
L18,IO_35,D1,BI,2,FALSE
L19,IO_37,B1,BI,2,FALSE
L20,IO_39,B3,BI,2,FALSE
L21,IO_41,B5,BI,2,FALSE
L22,IO_43,B7,BI,2,FALSE
L23,IO_45,B9,BI,2,FALSE
L24,IO_47,C10,BI,2,FALSE
L25,IO_49,E10,BI,2,FALSE
L26,IO_51,G10,BI,2,FALSE
L27,IO_53,J10,BI,2,FALSE
L28,IO_55,K9,BI,2,FALSE
L29,IO_57,K7,BI,2,FALSE
L30,IO_59,K5,BI,2,FALSE
L31,IO_61,K3,BI,2,FALSE
L32,IO_63,G2,BI,2,FALSE
L33,IO_65,D2,BI,2,FALSE
L34,IO_67,C6,BI,2,FALSE
L35,IO_69,F9,BI,2,FALSE
L36,IO_71,J6,BI,2,FALSE
L37,IO_73,F3,BI,2,FALSE
L38,TCK,K1,IN,2,FALSE
L39,TDO,K2,IN,2,FALSE
L40,VCCINT_C7,C7,POWER,2,FALSE
L41,VCCINT_G3,G3,POWER,2,FALSE
L42,VCCIO1_E3,E3,POWER,2,FALSE
L43,VCCIO1_J8,J8,POWER,2,FALSE
L44,VCCIO2_C8,C8,POWER,2,FALSE
L45,GND_A4,A4,GROUND,2,FALSE
L46,GND_D5,D5,GROUND,2,FALSE
L47,GND_E2,E2,GROUND,2,FALSE
L48,GND_E8,E8,GROUND,2,FALSE
L49,GND_G8,G8,GROUND,2,FALSE
L50,GND_H7,H7,GROUND,2,FALSE
R1,IO_2,A2,BI,3,FALSE
R2,IO_4,A5,BI,3,FALSE
R3,IO_6,A7,BI,3,FALSE
R4,IO_8,A9,BI,3,FALSE
R5,IO_10,A11,BI,3,FALSE
R6,IO_12,C11,BI,3,FALSE
R7,IO_14,E11,BI,3,FALSE
R8,IO_16,G11,BI,3,FALSE
R9,IO_18,J11,BI,3,FALSE
R10,IO_20,L11,BI,3,FALSE
R11,IO_22,L9,BI,3,FALSE
R12,IO_24,L7,BI,3,FALSE
R13,IO_26,L5,BI,3,FALSE
R14,IO_28,L3,BI,3,FALSE
R15,IO_30,L1,BI,3,FALSE
R16,IO_32,G1,BI,3,FALSE
R17,IO_34,E1,BI,3,FALSE
R18,IO_36,C1,BI,3,FALSE
R19,IO_38,B2,BI,3,FALSE
R20,IO_40,B4,BI,3,FALSE
R21,IO_42,B6,BI,3,FALSE
R22,IO_44,B8,BI,3,FALSE
R23,IO_46,B10,BI,3,FALSE
R24,IO_48,D10,BI,3,FALSE
R25,IO_50,F10,BI,3,FALSE
R26,IO_52,H10,BI,3,FALSE
R27,IO_54,K10,BI,3,FALSE
R28,IO_56,K8,BI,3,FALSE
R29,IO_58,K6,BI,3,FALSE
R30,IO_60,K4,BI,3,FALSE
R31,IO_62,H2,BI,3,FALSE
R32,IO_64,F2,BI,3,FALSE
R33,IO_66,C2,BI,3,FALSE
R34,IO_68,D9,BI,3,FALSE
R35,IO_70,H9,BI,3,FALSE
R36,IO_72,H3,BI,3,FALSE
R37,IO_74,D3,BI,3,FALSE
R38,TDI,J2,IN,3,FALSE
R39,TMS,J1,IN,3,FALSE
R40,VCCINT_E9,E9,POWER,3,FALSE
R41,VCCINT_J7,J7,POWER,3,FALSE
R42,VCCIO1_J4,J4,POWER,3,FALSE
R43,VCCIO2_C4,C4,POWER,3,FALSE
R44,VCCIO2_G9,G9,POWER,3,FALSE
R45,GND_C5,C5,GROUND,3,FALSE
R46,GND_D7,D7,GROUND,3,FALSE
R47,GND_E4,E4,GROUND,3,FALSE
R48,GDN_G4,G4,GROUND,3,FALSE
R49,GND_H5,H5,GROUND,3,FALSE
R50,GND_J5,J5,GROUND,3,FALSE
