Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/O_1,A9,BI,2,FALSE
L2,I/O_2,A10,BI,2,FALSE
L3,I/O_3,A11,BI,2,FALSE
L4,I/O_4,A12,BI,2,FALSE
L5,I/O_5,A14,BI,2,FALSE
L6,I/O_6,A15,BI,2,FALSE
L7,I/O_7,A16,BI,2,FALSE
L8,I/O_8,A17,BI,2,FALSE
L9,I/O_9,B9,BI,2,FALSE
L10,I/O_10,B10,BI,2,FALSE
L11,I/O_11,B12,BI,2,FALSE
L12,I/O_12,B14,BI,2,FALSE
L13,I/O_13,B15,BI,2,FALSE
L14,I/O_14,B17,BI,2,FALSE
L15,I/O_15,B18,BI,2,FALSE
L16,I/O_16,C11,BI,2,FALSE
L17,I/O_17,C12,BI,2,FALSE
L18,I/O_18,C13,BI,2,FALSE
L19,I/O_19,C16,BI,2,FALSE
L20,I/O_20,D9,BI,2,FALSE
L21,I/O_21,D10,BI,2,FALSE
L22,I/O_22,D11,BI,2,FALSE
L23,I/O_23,D13,BI,2,FALSE
L24,I/O_24,D16,BI,2,FALSE
L25,I/O_25,E9,BI,2,FALSE
L26,I/O_26,E11,BI,2,FALSE
L27,I/O_27,E12,BI,2,FALSE
L28,I/O_28,E14,BI,2,FALSE
L29,I/O_29,F9,BI,2,FALSE
L30,I/O_30,F10,BI,2,FALSE
L31,I/O_31,F11,BI,2,FALSE
L32,I/O_32,F12,BI,2,FALSE
L33,VREFB7AN0,B13,IN,2,FALSE
