Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,GND1,D15,GROUND,2,FALSE
L2,GND2,D5,GROUND,2,FALSE
L3,GND3,D12,GROUND,2,FALSE
L4,GND4,V18,GROUND,2,FALSE
L5,GND5,V14,GROUND,2,FALSE
L6,GND6,V4,GROUND,2,FALSE
L7,GND7,U1,GROUND,2,FALSE
L8,GND8,T13,GROUND,2,FALSE
L9,GND9,T3,GROUND,2,FALSE
L10,GND10,R10,GROUND,2,FALSE
L11,GND11,P17,GROUND,2,FALSE
L12,GND12,P12,GROUND,2,FALSE
L13,GND13,P7,GROUND,2,FALSE
L14,GND14,N14,GROUND,2,FALSE
L15,GND15,N9,GROUND,2,FALSE
L16,GND16,N4,GROUND,2,FALSE
L17,GND17,M12,GROUND,2,FALSE
L18,GND18,M6,GROUND,2,FALSE
L19,GND19,M1,GROUND,2,FALSE
L20,GND20,L18,GROUND,2,FALSE
L21,GND21,L11,GROUND,2,FALSE
L22,GND22,L9,GROUND,2,FALSE
L23,GND23,L7,GROUND,2,FALSE
L24,GND24,K12,GROUND,2,FALSE
L25,GND25,K10,GROUND,2,FALSE
L26,GND26,K8,GROUND,2,FALSE
L27,GND27,K5,GROUND,2,FALSE
R1,GND28,J17,GROUND,3,FALSE
R2,GND29,J11,GROUND,3,FALSE
R3,GND30,J9,GROUND,3,FALSE
R4,GND31,J7,GROUND,3,FALSE
R5,GND32,H14,GROUND,3,FALSE
R6,GND33,H12,GROUND,3,FALSE
R7,GND34,H10,GROUND,3,FALSE
R8,GND35,H8,GROUND,3,FALSE
R9,GND36,H6,GROUND,3,FALSE
R10,GND37,G11,GROUND,3,FALSE
R11,GND38,G9,GROUND,3,FALSE
R12,GND39,G7,GROUND,3,FALSE
R13,GND40,G1,GROUND,3,FALSE
R14,GND41,F13,GROUND,3,FALSE
R15,GND42,F8,GROUND,3,FALSE
R16,GND43,F3,GROUND,3,FALSE
R17,GND44,E10,GROUND,3,FALSE
R18,GND45,E5,GROUND,3,FALSE
R19,GND46,D17,GROUND,3,FALSE
R20,GND47,D7,GROUND,3,FALSE
R21,GND48,D2,GROUND,3,FALSE
R22,GND49,C4,GROUND,3,FALSE
R23,GND50,B11,GROUND,3,FALSE
R24,GND51,B1,GROUND,3,FALSE
R25,GND52,A18,GROUND,3,FALSE
R26,GND53,A8,GROUND,3,FALSE
R27,GND54,A3,GROUND,3,FALSE
