Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,VCCIO2A_1,H4,POWER,2,FALSE
L2,VCCIO2A_2,P2,POWER,2,FALSE
L3,VCCIO2A_3,L3,POWER,2,FALSE
L4,VCCIO2A_4,J2,POWER,2,FALSE
L5,VCCIO3A_1,R5,POWER,2,FALSE
L6,VCCIO3A_2,U6,POWER,2,FALSE
L7,VCCIO3B_1,T8,POWER,2,FALSE
L8,VCCIO3B_2,V9,POWER,2,FALSE
L9,VCCIO4A_1,T18,POWER,2,FALSE
L10,VCCIO4A_2,U16,POWER,2,FALSE
L11,VCCIO4A_3,U11,POWER,2,FALSE
L12,VCCIO4A_4,R15,POWER,2,FALSE
L13,VCCIO5A_1,K15,POWER,2,FALSE
L14,VCCIO5A_2,M16,POWER,2,FALSE
L15,VCCIO5B_1,F18,POWER,2,FALSE
L16,VCCIO5B_2,G16,POWER,2,FALSE
L17,VCCIO7A_1,B16,POWER,2,FALSE
L18,VCCIO7A_2,E15,POWER,2,FALSE
L19,VCCIO7A_3,C14,POWER,2,FALSE
L20,VCCIO7A_4,A13,POWER,2,FALSE
L21,VCCIO8A_1,C9,POWER,2,FALSE
L22,VCCIO8A_2,B6,POWER,2,FALSE
