Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted,,,,,,,,
L1,IO_1,1,BI,2,FALSE,,,,,,,,
L2,IO_3,3,BI,2,FALSE,,,,,,,,
L3,IO_5,5,BI,2,FALSE,,,,,,,,
L4,IO_7,7,BI,2,FALSE,,,,,,,,
L5,IO_14,14,BI,2,FALSE,,,,,,,,
L6,IO_16,16,BI,2,FALSE,,,,,,,,
L7,IO_18,18,BI,2,FALSE,,,,,,,,
L8,IO_20,20,BI,2,FALSE,,,,,,,,
L9,IO_26,26,BI,2,FALSE,,,,,,,,
L10,IO_28,28,BI,2,FALSE,,,,,,,,
L11,IO_30,30,BI,2,FALSE,,,,,,,,
L12,IO_34,34,BI,2,FALSE,,,,,,,,
L13,IO_36,36,BI,2,FALSE,,,,,,,,
L14,IO_40,40,BI,2,FALSE,,,,,,,,
L15,IO_42,42,BI,2,FALSE,,,,,,,,
L16,IO_44,44,BI,2,FALSE,,,,,,,,
L17,IO_48,48,BI,2,FALSE,,,,,,,,
L18,IO_50,50,BI,2,FALSE,,,,,,,,
L19,IO_52,52,BI,2,FALSE,,,,,,,,
L20,IO_54,54,BI,2,FALSE,,,,,,,,
L21,IO_56,56,BI,2,FALSE,,,,,,,,
L22,IO_58,58,BI,2,FALSE,,,,,,,,
L23,IO_62,62,BI,2,FALSE,,,,,,,,
L24,IO_66,66,BI,2,FALSE,,,,,,,,
L25,IO_68,68,BI,2,FALSE,,,,,,,,
L26,IO_70,70,BI,2,FALSE,,,,,,,,
L27,IO_72,72,BI,2,FALSE,,,,,,,,
L28,IO_74,74,BI,2,FALSE,,,,,,,,
L29,IO_76,76,BI,2,FALSE,,,,,,,,
L30,IO_78,78,BI,2,FALSE,,,,,,,,
L31,IO_82,82,BI,2,FALSE,,,,,,,,
L32,IO_84,84,BI,2,FALSE,,,,,,,,
L33,IO_86,86,BI,2,FALSE,,,,,,,,
L34,IO_89,89,BI,2,FALSE,,,,,,,,
L35,IO_92,92,BI,2,FALSE,,,,,,,,
L36,IO_97,97,BI,2,FALSE,,,,,,,,
L37,IO_99,99,BI,2,FALSE,,,,,,,,
L38,TMS,22,IN,2,FALSE,,,,,,,,
L39,TDI,23,IN,2,FALSE,,,,,,,,
L40,TCK,24,IN,2,FALSE,,,,,,,,
L41,TDO,25,IN,2,FALSE,,,,,,,,
L42,VCCIO1_9,9,POWER,2,FALSE,,,,,,,,
L43,VCCIO1_31,31,POWER,2,FALSE,,,,,,,,
L44,VCCIO1_45,45,POWER,2,FALSE,,,,,,,,
L45,GND_8,8,GROUND,2,FALSE,,,,,,,,
L46,GND_11,11,GROUND,2,FALSE,,,,,,,,
L47,GND_37,37,GROUND,2,FALSE,,,,,,,,
L48,GND_60,60,GROUND,2,FALSE,,,,,,,,
L49,GND_79,79,GROUND,2,FALSE,,,,,,,,
L50,GND_93,93,GROUND,2,FALSE,,,,,,,,
R1,IO_2,2,BI,3,FALSE,,,,,,,,
R2,IO_4,4,BI,3,FALSE,,,,,,,,
R3,IO_6,6,BI,3,FALSE,,,,,,,,
R4,IO_12,12,BI,3,FALSE,,,,,,,,
R5,IO_15,15,BI,3,FALSE,,,,,,,,
R6,IO_17,17,BI,3,FALSE,,,,,,,,
R7,IO_19,19,BI,3,FALSE,,,,,,,,
R8,IO_21,21,BI,3,FALSE,,,,,,,,
R9,IO_27,27,BI,3,FALSE,,,,,,,,
R10,IO_29,29,BI,3,FALSE,,,,,,,,
R11,IO_33,33,BI,3,FALSE,,,,,,,,
R12,IO_35,35,BI,3,FALSE,,,,,,,,
R13,IO_38,38,BI,3,FALSE,,,,,,,,
R14,IO_41,41,BI,3,FALSE,,,,,,,,
R15,IO_43,43,BI,3,FALSE,,,,,,,,
