Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,A0,G8,IN,2,FALSE
L2,A2,F7,IN,2,FALSE
L3,A4,G1,IN,2,FALSE
L4,A6,G3,IN,2,FALSE
L5,A8,H2,IN,2,FALSE
L6,A10,G7,IN,2,FALSE
L7,A12,H3,IN,2,FALSE
L8,DQ0,R8,BI,2,FALSE
L9,DQ2,R9,BI,2,FALSE
L10,DQ4,P9,BI,2,FALSE
L11,DQ6,M7,BI,2,FALSE
L12,DQ8,L2,BI,2,FALSE
L13,DQ10,M2,BI,2,FALSE
L14,DQ12,N2,BI,2,FALSE
L15,DQ14,N3,BI,2,FALSE
L16,DQ16,E8,BI,2,FALSE
L17,DQ18,D8,BI,2,FALSE
L18,DQ20,C8,BI,2,FALSE
L19,DQ22,C7,BI,2,FALSE
L20,DQ24,A2,BI,2,FALSE
L21,DQ26,A1,BI,2,FALSE
L22,DQ28,B1,BI,2,FALSE
L23,DQ30,D3,BI,2,FALSE
L24,CAS#,K7,BI,2,FALSE
L25,WE#,K8,BI,2,FALSE
L26,BA0,J7,BI,2,FALSE
L27,DQM0,K9,BI,2,FALSE
L28,DQM2,F8,BI,2,FALSE
L29,CLK,J1,BI,2,FALSE
L30,VDD_A7,A7,POWER,2,FALSE
L31,VDD_L7,L7,POWER,2,FALSE
L32,VDDQ_B2,B2,POWER,2,FALSE
L33,VDDQ_C9,C9,POWER,2,FALSE
L34,VDDQ_E1,E1,POWER,2,FALSE
L35,VDDQ_M9,M9,POWER,2,FALSE
L36,VDDQ_P2,P2,POWER,2,FALSE
L37,VSS_A3,A3,GROUND,2,FALSE
L38,VSS_L3,L3,GROUND,2,FALSE
L39,VSSQ_B3,B3,GROUND,2,FALSE
L40,VSSQ_C1,C1,GROUND,2,FALSE
L41,VSSQ_E9,E9,GROUND,2,FALSE
L42,VSSQ_M1,M1,GROUND,2,FALSE
L43,VSSQ_P3,P3,GROUND,2,FALSE
L44,DNU,K2,GROUND,2,FALSE
L45,NC_E7,E7,GROUND,2,FALSE
R1,A1,G9,IN,3,FALSE
R2,A3,F3,IN,3,FALSE
R3,A5,G2,IN,3,FALSE
R4,A7,H1,IN,3,FALSE
R5,A9,J3,IN,3,FALSE
R6,A11,H9,IN,3,FALSE
R7,A13,H7,IN,3,FALSE
R8,DQ1,N7,BI,3,FALSE
R9,DQ3,N8,BI,3,FALSE
R10,DQ5,M8,BI,3,FALSE
R11,DQ7,L8,BI,3,FALSE
R12,DQ9,M3,BI,3,FALSE
R13,DQ11,P1,BI,3,FALSE
R14,DQ13,R1,BI,3,FALSE
R15,DQ15,R2,BI,3,FALSE
R16,DQ17,D7,BI,3,FALSE
R17,DQ19,B9,BI,3,FALSE
R18,DQ21,A9,BI,3,FALSE
R19,DQ23,A8,BI,3,FALSE
R20,DQ25,C3,BI,3,FALSE
R21,DQ27,C2,BI,3,FALSE
R22,DQ29,D2,BI,3,FALSE
R23,DQ31,E2,BI,3,FALSE
R24,RAS#,J9,BI,3,FALSE
R25,CS#,J8,BI,3,FALSE
R26,BA1,H8,BI,3,FALSE
R27,DQM1,K1,BI,3,FALSE
R28,DQM3,F2,BI,3,FALSE
R29,CKE,J2,BI,3,FALSE
R30,VDD_F9,F9,POWER,3,FALSE
R31,VDD_R7,R7,POWER,3,FALSE
R32,VDDQ_B7,B7,POWER,3,FALSE
R33,VDDQ_D9,D9,POWER,3,FALSE
R34,VDDQ_L1,L1,POWER,3,FALSE
R35,VDDQ_N9,N9,POWER,3,FALSE
R36,VDDQ_P7,P7,POWER,3,FALSE
R37,VSS_F1,F1,GROUND,3,FALSE
R38,VSS_R3,R3,GROUND,3,FALSE
R39,VSSQ_B8,B8,GROUND,3,FALSE
R40,VSSQ_D1,D1,GROUND,3,FALSE
R41,VSSQ_L9,L9,GROUND,3,FALSE
R42,VSSQ_N1,N1,GROUND,3,FALSE
R43,VSSQ_P8,P8,GROUND,3,FALSE
R44,NC_E3,E3,GROUND,3,FALSE
R45,NC_K3,K3,GROUND,3,FALSE
