[2014.11.03 10:17:05] [0000m.00s.997ms] [0] WELCOME
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] iCDB Diagnostic ver.1.094, vt40T8RtWJOG2cE2Nlvc5A, build:535943 created 2013-01-08 09:09:26, sources stamp:vt40T8RtWJOG2cE2Nlvc5A
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Copyright 2013 Mentor Graphics Corporation. All Rights Reserved.
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Base flow version [7.9.4]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] GBS Install Id [27413], Flow Id [PADS 9.5], Full Flow Name [PADS 9.5], Exact Access Date [Jun 1 2012]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] UPDATE Install Info, GBS Install Id [29618], UPDATE Name [PADS 9.5 Update 1]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Machine [ECEROSSLAB01]  User [j82t579]  PID [5444]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Operating system [Microsoft Windows 7 Enterprise Edition, 32-bit Service Pack 1 (build 7601)]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Current working dir [C:\Users\kyler.callahan\Documents\work\MCollar_v1\0Schematic\MCollar_v1]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] PATH [C:\MentorGraphics\9.5PADS\SDD_HOME\wv\win32\bin;C:\MentorGraphics\9.5PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.5PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.5PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.5PADS\MGC_HOME.ixn\lib;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\MATLAB\R2013a\runtime\win32;C:\MATLAB\R2013a\bin;C:\Program Files\ATI Technologies\ATI.ACE\Core-Static;C:\altera\13.1\modelsim_ae\win32aloem;C:\MentorGraphics\9.5PADS\SDD_HOME\common\win32\lib]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] SDD_HOME [C:\MentorGraphics\9.5PADS\SDD_HOME] on file system [NTFS]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] SDD_PLATFORM [win32]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.5PADS\SDD_HOME\standard]
[2014.11.03 10:17:05] [0000m.00s.997ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: Snapshot: DxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: DxDCheck: LineDxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: DxDCheck: CircleDxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: DxDCheck: ArcDxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: DxDCheck: RectDxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: DxDCheck: TextDxD
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: Block: M
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2014.11.03 10:17:05] [0000m.01s.028ms] [2] Diagnostic: BlockCheck: CDBImplPort
