crea or,version,ns1: ime,ns1:name,la ,lon,ns1:ele,ns1: ime2
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.667074,-111.046704,1497, 12:43:10 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.66704,-111.046691,1497, 12:43:13 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.667006,-111.046677,1497.1, 12:43:16 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666979,-111.046663,1497.2, 12:43:18 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666948,-111.046651,1497.2, 12:43:20 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666917,-111.046649,1497.3, 12:43:22 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666886,-111.046645,1497.3, 12:43:24 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666856,-111.04664,1497.4, 12:43:26 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666825,-111.046636,1497.4, 12:43:28 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666794,-111.046633,1497.5, 12:43:30 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666763,-111.04663,1497.5, 12:43:32 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666735,-111.046625,1497.5, 12:43:34 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666706,-111.046621,1497.5, 12:43:36 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666669,-111.04663,1497.6, 12:43:38 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666623,-111.046654,1497.6, 12:43:41 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666608,-111.046663,1497.6, 12:43:42 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666575,-111.04668,1497.7, 12:43:44 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666543,-111.046698,1497.7, 12:43:46 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666511,-111.046712,1497.7, 12:43:48 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666483,-111.046721,1497.8, 12:43:50 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666455,-111.046708,1497.8, 12:43:53 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666433,-111.046684,1497.8, 12:43:55 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.666404,-111.046674,1497.8, 12:43:57 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.66637,-111.04667,1497.9, 12:44:00 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.66634,-111.04667,1497.9, 12:44:02 
s rava.com iPhone,1.1, 12:43:10 ,Lunch Run,45.66631,-111.046675,1498, 12:44:04 
